Address,Price,Parcel,Date
1711 Reetz Rd,156300,70932305084,2003-02-01
1801 Reetz Rd,134100,70932305092,2004-06-01
1805 Reetz Rd,134100,70932305109,2004-06-01
1813 Reetz Rd,180000,70932305125,2009-12-01
1923 Reetz Rd,199000,70932305175,2012-07-01
1923 Reetz Rd,195000,70932305175,2004-03-01
5840 Russett Rd,184000,70931310167,2016-08-01
5840 Russett Rd,170000,70931310167,2004-09-01
5840 Russett Rd,148500,70931310167,2003-02-01
2 Bahr Cir,288500,60802413091,2006-01-01
5 Bahr Cir,275800,60802413265,2006-09-01
9 Bahr Cir,288300,60802413257,2006-12-01
10 Bahr Cir,289000,60802413249,2006-01-01
2869 Cimarron Trl,327500,60802416102,2004-08-01
2873 Cimarron Trl,254000,60802416110,2002-04-01
3071 Cimarron Trl,245000,60802409313,2004-07-01
6 Corona Ct,300000,60802416144,2004-03-01
3118 Muir Field Rd,279900,60802413603,2003-07-01
3118 Muir Field Rd,222000,60802413603,2002-07-01
7326 Santa Fe Trl,310000,60802421052,2003-08-01
7329 Santa Fe Trl,300800,60802413017,2003-10-01
7334 Santa Fe Trl,280000,60802421044,2002-07-01
7342 Santa Fe Trl,332900,60802421036,2005-07-01
7350 Santa Fe Trl,275000,60802421028,2005-01-01
1 Sonora Ct,320000,60802418314,2005-04-01
1 Sonora Ct,239000,60802418314,2002-04-01
3001 Tucson Trl,278400,60802413067,2002-10-01
3009 Tucson Trl,315000,60802413207,2006-07-01
3009 Tucson Trl,278000,60802413207,2002-12-01
3017 Tucson Trl,295500,60802413215,2008-05-01
3017 Tucson Trl,287500,60802413215,2006-01-01
2702 Ardsley Ln,263000,70933402087,2008-08-01
2706 Ardsley Ln,173000,70933402079,2012-02-01
2709 Ardsley Ln,235000,70933403035,2003-05-01
2709 Ardsley Ln,185500,70933403035,2002-06-01
2710 Ardsley Ln,259900,70933402061,2004-01-01
2713 Ardsley Ln,208000,70933403043,2003-05-01
2929 Ashford Ln,270000,70933403051,2005-03-01
2929 Ashford Ln,244300,70933403051,2004-02-01
3001 Ashford Ln,313000,70933403069,2017-07-01
3005 Ashford Ln,198000,70933403077,2013-04-01
3001 Churchill Dr,255000,60903202020,2005-10-01
3005 Churchill Dr,228000,60903202038,2009-05-01
3008 Churchill Dr,230000,60903201395,2010-05-01
3009 Churchill Dr,245000,60903202046,2010-06-01
3014 Churchill Dr,235000,60903201387,2003-03-01
3017 Churchill Dr,195000,60903202062,2003-10-01
3021 Churchill Dr,215000,60903202070,2013-08-01
3033 Churchill Dr,205000,60903202103,2009-11-01
3037 Churchill Dr,253000,60903202111,2005-05-01
3037 Churchill Dr,190000,60903202111,2002-07-01
3038 Churchill Dr,270000,60903201329,2017-02-01
3101 Churchill Dr,194900,60903202129,2012-12-01
3101 Churchill Dr,184300,60903202129,2009-07-01
3105 Churchill Dr,253700,60903202137,2005-09-01
3106 Churchill Dr,265000,60903201303,2007-07-01
3109 Churchill Dr,260000,60903202145,2006-04-01
3110 Churchill Dr,280000,60903201296,2007-04-01
3110 Churchill Dr,265000,60903201296,2006-02-01
3205 Churchill Dr,200000,60903202195,2005-10-01
3209 Churchill Dr,190000,60903202202,2002-08-01
3210 Churchill Dr,210000,60903201238,2002-03-01
2506 Greenway Vw,285900,70934306014,2004-12-01
2510 Greenway Vw,217000,70934306022,2014-02-01
2517 Greenway Vw,195000,60903201402,2004-12-01
2203 Pike Dr,172000,60903206139,2002-09-01
2302 Post Rd,196000,60903206014,2013-12-01
2302 Post Rd,232700,60903206014,2005-10-01
2310 Post Rd,195000,60903206270,2016-12-01
2310 Post Rd,234900,60903206270,2005-02-01
2310 Post Rd,212000,60903206270,2004-01-01
2702 Post Rd,221700,60903202210,2005-01-01
2934 Todd Dr,275400,70933403217,2007-03-01
2938 Todd Dr,262000,70933403209,2017-03-01
2938 Todd Dr,174500,70933403209,2012-09-01
2938 Todd Dr,275000,70933403209,2004-12-01
3009 Todd Dr,250000,60903201056,2017-02-01
3009 Todd Dr,215000,60903201056,2015-07-01
3010 Todd Dr,210000,70933403176,2014-07-01
3010 Todd Dr,224900,70933403176,2010-07-01
3010 Todd Dr,210000,70933403176,2003-07-01
3014 Todd Dr,225000,70933403168,2012-12-01
3021 Todd Dr,236200,60903201080,2003-10-01
3026 Todd Dr,240100,70933403134,2004-10-01
2917 Traceway Dr,223000,60903206189,2017-06-01
2922 Traceway Dr,172500,60903203086,2011-09-01
2922 Traceway Dr,250000,60903203086,2006-01-01
2922 Traceway Dr,175000,60903203086,2003-09-01
2925 Traceway Dr,248000,60903206204,2004-07-01
2929 Traceway Dr,168000,60903206212,2013-06-01
2929 Traceway Dr,198000,60903206212,2002-11-01
2937 Traceway Dr,208000,60903206238,2016-06-01
2938 Traceway Dr,192500,60903203052,2016-08-01
2938 Traceway Dr,250000,60903203052,2005-08-01
2938 Traceway Dr,215000,60903203052,2004-10-01
2941 Traceway Dr,253000,60903206246,2006-01-01
2906 Turbot Dr,257500,60903206121,2006-06-01
